src_id,ra,dec
tile_RA0.084_DECp35.807:2105,0.3831937093,36.0929561159
tile_RA0.084_DECp37.807:649,0.4207129068,37.4414670617
tile_RA0.342_DECp47.807:4512,0.7555049442,47.8099144177
tile_RA0.353_DECp47.807:4501,0.7555043692,47.8099138484
tile_RA0.449_DECp24.807:2059,0.9740221449,24.9402635404
tile_RA0.449_DECp24.807:2297,0.9777958543,24.8590394623
tile_RA0.449_DECp25.807:1332,0.7740214561,26.181152074
tile_RA0.506_DECp42.807:5104,0.5130953911,42.9611449824
tile_RA0.508_DECm24.304:1135,0.5114558453,-24.2555796123
tile_RA0.508_DECp30.807:2085,0.9502292402,30.7108475928
tile_RA0.508_DECp30.807:2748,0.7088440213,30.9768697093
tile_RA0.508_DECp30.807:2874,0.6801542897,30.9345496915
tile_RA0.508_DECp30.807:3105,0.1877207727,30.8579743295
tile_RA0.618_DECp36.807:4237,1.1736687899,36.8251679675
tile_RA0.618_DECp37.807:4087,0.1066485121,37.9468461348
tile_RA0.700_DECp29.807:2957,1.1070271048,29.8463341233
tile_RA0.700_DECp30.807:1948,1.2547885067,30.7308379908
tile_RA0.700_DECp30.807:2024,0.9502360218,30.7108471909
tile_RA0.700_DECp30.807:2659,0.7088410867,30.9768679926
tile_RA0.700_DECp30.807:2770,0.6801502547,30.9345477342
tile_RA0.700_DECp30.807:2993,0.1877251618,30.8579811667
tile_RA0.761_DECp23.807:844,0.7008882248,24.287588711
tile_RA0.761_DECp23.807:1443,0.9319592923,24.0808463981
tile_RA0.761_DECp25.807:921,0.723931828,25.664950974
tile_RA0.761_DECp25.807:1533,1.0750920884,25.7135557001
tile_RA0.761_DECp25.807:2090,0.9676739825,25.9722974967
tile_RA0.761_DECp25.807:2246,0.7480321774,25.9050135466
tile_RA0.802_DECp5.791:149,1.0799743909,5.3842363492
tile_RA0.802_DECp5.791:464,1.0697616185,5.5750666254
tile_RA0.802_DECp7.791:477,0.5082388501,7.6078876378
tile_RA0.802_DECp7.791:1005,0.6982161216,7.697936597
tile_RA0.802_DECp7.791:1309,0.7591187409,7.9635667162
tile_RA0.802_DECp7.791:1398,0.3179040848,7.9022226706
tile_RA0.805_DECp17.807:1122,1.0388042636,17.7681296591
tile_RA0.805_DECp18.807:459,0.6887681148,18.528231461
tile_RA0.805_DECp19.807:538,1.1112432595,19.5494833758
tile_RA0.805_DECp19.807:1295,1.0651153867,19.7595225242
tile_RA0.836_DECm12.207:193,0.4859275225,-12.55773242
tile_RA0.836_DECm12.207:664,0.7050283853,-11.8033615086
tile_RA0.836_DECm12.207:1193,1.1358117122,-12.098299795
tile_RA0.851_DECm4.193:1339,0.5020046969,-4.0501355357
tile_RA0.851_DECm5.193:1422,1.2125986675,-5.2099096733
tile_RA0.851_DECm5.193:1435,0.3541305504,-5.217344624
tile_RA0.851_DECm6.193:258,0.5236107909,-6.4998339187
tile_RA0.851_DECm6.193:1129,1.0897565765,-5.9543541484
tile_RA0.857_DECp1.807:266,1.1835151157,1.5309518097
tile_RA1.550_DECp24.807:1731,1.6934385612,25.047764757
tile_RA1.596_DECm22.304:197,1.5535886639,-22.69469426
tile_RA1.596_DECm24.304:517,1.2532849358,-24.5500216779
tile_RA1.596_DECm24.304:795,2.0541011258,-24.4042494946
tile_RA1.596_DECm25.304:1229,1.7036751144,-25.1827347157
tile_RA1.596_DECm25.304:1432,1.6511120348,-24.8688009534
tile_RA1.596_DECm25.304:1629,1.1846171772,-25.0701945169
tile_RA1.672_DECp30.807:1792,1.2547915238,30.7308302959
tile_RA1.672_DECp30.807:2040,2.0698115226,31.1363715305
tile_RA1.672_DECp30.807:3101,2.0885548736,30.7893913783
tile_RA1.695_DECp64.828:15836,1.5454105779,65.2606983448
tile_RA1.809_DECp4.791:944,1.8541065635,4.7028940362
tile_RA1.809_DECp6.791:871,2.0801141294,7.1591738003
tile_RA1.855_DECm10.207:216,1.865546476,-10.5285926571
tile_RA1.855_DECm13.207:1174,2.0404981723,-13.1972747754
tile_RA1.855_DECm13.207:1184,2.0431581807,-13.195058841
tile_RA1.856_DECm3.193:1374,1.8173049382,-3.070874616
tile_RA1.856_DECm3.193:1600,2.0102389657,-3.2158760411
tile_RA1.856_DECm4.193:920,1.7510617897,-4.2635255791
tile_RA1.856_DECm4.193:1023,1.6036631724,-4.2536755356
tile_RA1.856_DECm4.193:1404,2.0094535813,-4.2352165665
tile_RA1.856_DECm5.193:278,1.6037907451,-5.5009849032
tile_RA1.856_DECm6.193:513,1.8277540247,-6.3354187858
tile_RA1.856_DECm6.193:715,1.9005972363,-5.8210184197
tile_RA1.856_DECm6.193:1065,1.6389173004,-5.9952320035
tile_RA1.856_DECm6.193:1123,2.2988869671,-6.0297038371
tile_RA1.856_DECm7.193:994,1.9310428024,-6.885304501
tile_RA1.856_DECm7.193:1270,1.9193061473,-7.0623165716
tile_RA1.857_DECm1.193:780,2.1367388455,-0.8552147071
tile_RA1.857_DECp0.807:849,1.9382160081,0.9579084814
tile_RA1.857_DECp1.807:1039,1.7080474495,1.9022707332
tile_RA1.857_DECp2.807:1061,2.0330347406,2.9540607197
tile_RA1.857_DECp2.807:1205,2.0174559606,2.8316285615
tile_RA1.860_DECp11.807:926,1.6859042197,12.0899855862
tile_RA1.861_DECp16.807:1198,1.7528325162,16.7219135351
tile_RA1.861_DECp16.807:1744,2.2342296618,16.7713843267
tile_RA1.861_DECp17.807:1065,1.9449981204,17.9332220082
tile_RA1.861_DECp18.807:794,1.4977312294,18.6742124365
tile_RA1.861_DECp19.807:1002,1.6295465003,20.2314803814
tile_RA1.863_DECp22.807:869,1.7998081203,23.2605378071
tile_RA1.863_DECp22.807:1213,1.962996774,23.1569567291
tile_RA1.863_DECp22.807:1850,1.4257760216,22.8359219835
tile_RA1.863_DECp23.807:1496,2.2978805742,24.0258760178
tile_RA1.863_DECp24.807:1762,1.6934362974,25.0477687922
tile_RA1.863_DECp25.807:1477,2.1293476557,25.7149691504
tile_RA1.863_DECp25.807:1890,1.623576428,26.0190933613
tile_RA1.863_DECp26.807:1356,2.1391684741,27.2064676054
tile_RA1.863_DECp26.807:2340,1.8750608106,26.8823600119
tile_RA1.865_DECp28.807:1028,1.7599147473,28.6537802992
tile_RA1.865_DECp28.807:2060,2.2286792787,29.0927224067
tile_RA1.865_DECp29.807:1883,1.5122146906,30.1289829851
tile_RA1.865_DECp30.807:2025,2.0698077568,31.1363764017
tile_RA1.865_DECp32.807:391,1.6291906909,32.4190813462
tile_RA1.865_DECp32.807:1206,1.3360772362,32.6275209492
tile_RA1.867_DECp34.807:2185,1.8120810535,35.17699203
tile_RA1.867_DECp34.807:2460,2.3281583748,34.7591687193
tile_RA1.867_DECp34.807:2671,1.7671086655,34.711678741
tile_RA1.867_DECp34.807:3762,1.7915216205,34.9142543731
tile_RA1.867_DECp35.807:1664,1.7288241671,36.2873430822
tile_RA1.867_DECp37.807:4472,1.5989807447,37.7995799375
tile_RA1.867_DECp38.807:1565,1.6726583304,38.6138662473
tile_RA1.869_DECp40.807:1301,2.3975477278,40.5873111834
tile_RA1.869_DECp41.807:1306,1.6044760901,41.5640280778
tile_RA1.869_DECp43.807:2441,1.4941831988,43.6821755156
tile_RA1.869_DECp43.807:3191,1.6725123763,43.7953579173
tile_RA1.872_DECp49.807:3657,1.238693851,49.6523206701
tile_RA1.872_DECp50.807:7244,2.2175025861,50.9061493166
tile_RA1.875_DECp53.807:4950,2.0657622359,53.6135637074
tile_RA1.875_DECp55.807:10461,2.0209805473,55.900273747
tile_RA1.880_DECp58.807:7401,2.2625389574,58.7325152563
tile_RA1.880_DECp58.807:8788,2.4396276005,58.8162675278
tile_RA1.880_DECp58.807:14779,1.3432161466,59.1103437808
tile_RA1.899_DECp74.807:9506,2.6325572104,75.2525268449
tile_RA1.923_DECp79.807:3941,3.6498817682,80.04200193
tile_RA10.002_DECp18.801:2189,10.450379527,18.8042666032
tile_RA10.188_DECp35.799:809,9.7192110951,35.506212171
tile_RA10.188_DECp35.799:2867,9.7666313162,36.0982694457
tile_RA10.188_DECp37.799:3684,9.8579239257,37.9679490577
tile_RA10.235_DECp66.783:3473,10.5429045909,66.6109469582
tile_RA10.235_DECp66.783:6817,9.8515887427,66.8743917654
tile_RA10.507_DECp46.796:2925,10.006917083,46.69157437
tile_RA10.507_DECp46.796:4341,10.8759154235,46.8736975678
tile_RA10.507_DECp49.796:4637,10.4172867776,49.7672231596
tile_RA10.608_DECp24.800:738,10.8427468018,24.5565322519
tile_RA10.608_DECp24.800:806,10.8646458372,24.5814207859
tile_RA10.608_DECp24.800:1005,11.104429829,24.6510144708
tile_RA10.608_DECp24.800:1111,11.0986694892,24.6816955012
tile_RA10.828_DECp42.798:2113,10.704593588,42.658853877
tile_RA10.847_DECp30.798:1817,11.4117581192,30.6863756525
tile_RA10.847_DECp30.798:2169,11.2799085346,30.7352982031
tile_RA10.847_DECp31.798:823,11.047333328,31.5463967991
tile_RA10.847_DECp31.798:1238,10.6753817988,31.6666406538
tile_RA10.847_DECp31.798:1669,11.1488770001,32.1825439365
tile_RA10.847_DECp31.798:2349,11.4289217128,31.7347295132
tile_RA10.847_DECp31.798:2612,11.2565019952,31.9403040051
tile_RA100.074_DECp39.877:2524,99.9501243261,39.6844107467
tile_RA100.074_DECp42.877:5750,100.1813356849,43.0297589265
tile_RA100.074_DECp42.877:6377,100.3482200076,43.3190368503
tile_RA100.236_DECp58.851:3258,99.6039293034,59.1203621803
tile_RA100.236_DECp58.851:3438,101.0434413875,59.0887692451
tile_RA100.805_DECp24.879:4054,100.7936066151,24.6663968125
tile_RA101.354_DECp53.909:4744,102.1150898359,54.0146709066
tile_RA101.668_DECp34.871:782,101.6449450091,34.4821628404
tile_RA101.668_DECp35.871:5855,101.2404037408,35.9634014932
tile_RA101.748_DECp47.813:3864,102.0887895714,47.8685561183
tile_RA101.748_DECp47.813:6405,102.0340602274,48.2535529579
tile_RA102.123_DECp29.878:4586,101.8747603579,29.8323894049
tile_RA102.227_DECp57.851:1022,101.7669937434,57.5951394878
tile_RA102.227_DECp57.851:1453,101.957600593,57.6972773939
tile_RA102.227_DECp60.851:2720,101.3706343395,61.1170516729
tile_RA102.227_DECp60.851:3625,101.9433674143,60.8776740036
tile_RA102.227_DECp60.851:3830,102.5368739376,60.825476386
tile_RA102.414_DECp76.932:377,102.0153480498,76.5300116988
tile_RA102.414_DECp77.932:1238,100.5286643318,77.7809856588
tile_RA102.414_DECp77.932:3688,100.2938053346,78.0148005456
tile_RA102.767_DECm6.180:2635,102.6279778866,-6.5535365258
tile_RA102.767_DECm7.180:12488,102.4169623373,-7.0773754015
tile_RA102.902_DECp35.871:2109,103.0137185447,35.6845541785
tile_RA102.902_DECp35.871:3570,102.8389184619,35.909189302
tile_RA102.972_DECp83.636:3085,103.9673047183,83.8918571188
tile_RA102.972_DECp83.636:3550,99.5009686999,83.6144473311
tile_RA102.972_DECp84.636:3416,103.4834789846,84.7492276258
tile_RA103.050_DECp72.803:1246,103.1726953623,72.6197308144
tile_RA103.050_DECp72.803:2412,101.7916227043,72.6822938689
tile_RA103.061_DECp16.818:9777,102.6718320838,17.0422743213
tile_RA103.061_DECp17.818:5774,103.2125953117,17.7613394309
tile_RA103.061_DECp17.818:7104,102.9197509265,17.8640969356
tile_RA103.061_DECp17.818:9326,103.3877912754,18.0303739515
tile_RA103.773_DECm5.180:12105,103.8910335426,-4.9090663541
tile_RA103.773_DECm6.180:8684,103.9859945382,-6.2099740207
tile_RA103.773_DECm7.180:16008,103.8391029276,-6.7279210048
tile_RA103.773_DECm8.180:10076,103.8383156324,-7.9486218869
tile_RA103.856_DECm0.181:15687,103.9994701664,0.2700958146
tile_RA103.856_DECp0.819:9435,103.4484759641,0.9547473891
tile_RA103.856_DECp0.819:12309,103.8380305844,1.2951179311
tile_RA104.000_DECp29.789:1670,104.1963395255,29.4824951562
tile_RA104.111_DECp16.818:1872,103.8908219664,16.4908989975
tile_RA104.115_DECp85.144:456,105.0506857115,84.6917560749
tile_RA104.115_DECp85.144:2436,106.0427414976,85.3702929003
tile_RA104.115_DECp85.144:3341,108.4447043547,84.9854686878
tile_RA104.218_DECp59.851:2275,104.7659645145,60.1868971149
tile_RA104.218_DECp59.851:3288,103.7298662581,59.9400441993
tile_RA104.218_DECp60.851:484,104.7231822578,60.4639758739
tile_RA104.218_DECp60.851:862,103.4867431934,60.5924610038
tile_RA104.218_DECp60.851:3679,104.4098690788,60.8413892231
tile_RA104.726_DECp45.813:2464,104.5962443471,45.7341786613
tile_RA104.726_DECp45.813:2755,105.2574254923,45.7786797599
tile_RA104.726_DECp45.813:5274,104.7397219089,46.288534072
tile_RA104.726_DECp47.813:2378,104.9676958149,47.7391229814
tile_RA104.779_DECm6.180:14493,105.0572230638,-5.8748491068
tile_RA104.832_DECp41.731:711,104.862123553,41.3633394117
tile_RA104.832_DECp41.731:5098,105.419647037,41.7778952811
tile_RA104.856_DECm0.181:7926,104.8543363489,-0.2234272705
tile_RA104.953_DECp35.775:2206,105.1657959031,35.6227645334
tile_RA105.044_DECp11.818:233,105.1199625637,11.3327188861
tile_RA105.153_DECp28.789:3681,104.6498523542,28.8044303164
tile_RA105.153_DECp29.789:1594,104.8699869412,29.5146910279
tile_RA105.153_DECp29.789:2152,105.2702781587,29.5934346338
tile_RA105.153_DECp29.789:4669,105.6236120901,30.0368267662
tile_RA105.155_DECp64.780:1136,105.0370310159,64.5832929558
tile_RA105.155_DECp64.780:2189,105.7230601974,64.6949042091
tile_RA105.155_DECp64.780:3464,105.0156182675,64.8062146145
tile_RA105.155_DECp65.780:684,105.494289872,65.4669330749
tile_RA105.728_DECp52.778:1700,105.880108928,52.6393976582
tile_RA105.728_DECp52.778:3645,105.743571234,52.9956903934
tile_RA105.728_DECp53.778:1900,105.7611702007,53.6519288239
tile_RA105.785_DECm6.180:3561,105.9610154252,-6.4930330298
tile_RA105.990_DECp2.705:11548,105.785191311,2.8607795576
tile_RA105.990_DECp3.705:984,105.9050610814,3.2692239531
tile_RA106.172_DECp40.731:1220,106.6388367745,40.4463970025
tile_RA106.172_DECp40.731:3890,106.4134483588,40.9997365757
tile_RA106.185_DECp36.775:2577,106.406657149,37.2166629779
tile_RA106.202_DECp21.790:3043,106.5432712014,21.7272193886
tile_RA106.209_DECp59.851:2298,106.3210973451,60.1832429927
tile_RA106.212_DECp17.818:2992,105.8881280328,17.611367159
tile_RA106.215_DECp46.813:2227,106.2049782981,47.2640818066
tile_RA106.252_DECp71.803:3116,105.7259447279,72.0219046798
tile_RA106.305_DECp27.789:3134,106.0115451888,27.7385514219
tile_RA106.305_DECp31.789:5788,105.7667611897,31.8843148855
tile_RA106.991_DECp0.705:9334,107.0165066054,0.7669607343
tile_RA106.991_DECp0.705:11576,106.7875613489,0.9061494015
tile_RA106.991_DECp1.705:4635,106.8755222536,1.4840492839
tile_RA106.991_DECp1.705:11422,107.3000841281,1.9057964278
tile_RA106.991_DECp2.705:1306,106.8044791015,2.2899951104
tile_RA106.991_DECp2.705:5138,107.272164879,2.5267609897
tile_RA106.991_DECp2.705:8542,106.6918109168,2.7390765204
tile_RA106.991_DECp2.705:9528,106.6810962776,2.9306036786
tile_RA107.197_DECp77.932:329,106.9227020602,77.5189834625
tile_RA107.197_DECp77.932:3594,106.8657978289,77.9652915885
tile_RA107.295_DECp23.790:5790,106.9071036713,23.8174918842
tile_RA107.418_DECp33.775:4264,107.7651478262,33.7259698035
tile_RA107.418_DECp36.775:1132,107.4231119699,36.4797929663
tile_RA107.418_DECp36.775:2449,107.4046386149,37.2165936309
tile_RA107.418_DECp37.775:4817,107.9270313552,37.8446164021
tile_RA107.421_DECp51.778:1176,107.8521948129,51.5848745758
tile_RA107.421_DECp51.778:1264,106.874872988,51.6111365251
tile_RA107.421_DECp51.778:2436,106.736206388,51.6955472047
tile_RA107.421_DECp51.778:3213,106.8971813813,51.9707101488
tile_RA107.421_DECp51.778:4016,107.9433804605,51.7499638131
tile_RA107.421_DECp53.778:1850,107.3075997522,54.2664955001
tile_RA107.421_DECp53.778:3424,107.9086883521,53.9762225052
tile_RA107.457_DECp29.789:729,107.7389747712,29.403793296
tile_RA107.457_DECp29.789:4504,107.9884981147,29.9487877942
tile_RA107.457_DECp29.789:4902,107.9646633986,29.9623875765
tile_RA107.457_DECp30.789:1431,107.2263942062,30.5303486794
tile_RA107.457_DECp30.789:4523,107.4088647719,30.9994433639
tile_RA107.512_DECp40.731:4678,107.6428725333,40.8157374444
tile_RA107.512_DECp41.731:4928,106.8843605527,41.6949132932
tile_RA107.593_DECp63.780:1286,107.2989540396,63.6518279248
tile_RA107.593_DECp64.780:2661,107.9359600412,64.9372372076
tile_RA107.593_DECp65.780:639,107.8571329962,65.468028519
tile_RA107.593_DECp65.780:978,106.6503490618,65.5708500959
tile_RA107.704_DECp47.813:328,107.7271418848,47.3751884525
tile_RA107.763_DECm6.261:5586,107.5073175399,-6.4040894081
tile_RA107.763_DECm6.261:6060,108.0365932254,-6.3793501766
tile_RA107.763_DECm6.261:9480,107.7346871918,-6.1731624233
tile_RA107.763_DECm6.261:15548,107.8190363669,-5.7796968134
tile_RA107.855_DECm0.262:7162,107.8901801214,-0.379895654
tile_RA107.855_DECm0.262:14985,107.9861794992,0.0614611954
tile_RA107.974_DECp11.737:1968,107.8760754651,11.4158454818
tile_RA107.992_DECp1.705:4573,108.1800390486,1.4637001304
tile_RA107.992_DECp2.705:12419,107.6215949308,2.9317104824
tile_RA108.388_DECp23.790:268,108.2103951266,23.3373664208
tile_RA108.855_DECm0.262:5952,108.8189992141001,-0.4424728450239444
tile_RA108.855_DECm0.262:10878,108.43438111014419,-0.1665161790318692
